,Year,Rank,Country name,Life evaluation (3-year average),Lower whisker,Upper whisker,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual
2,2022,137,Afghanistan,1.859,1.795,1.923,0.645,0.0,0.087,0.0,0.093,0.059,0.976
15,2022,83,Albania,5.277,5.148,5.406,1.449,0.951,0.48,0.549,0.133,0.037,1.678
28,2022,81,Algeria,5.329,5.207,5.451,1.353,1.298,0.409,0.252,0.073,0.152,1.791
47,2022,52,Argentina,6.024,5.9,6.147,1.59,1.388,0.427,0.587,0.088,0.082,1.861
60,2022,79,Armenia,5.342,5.213,5.47,1.466,1.134,0.443,0.551,0.053,0.16,1.534
73,2022,12,Australia,7.095,7.009,7.18,1.899,1.497,0.532,0.677,0.242,0.31,1.938
86,2022,11,Austria,7.097,7.018,7.176,1.927,1.382,0.535,0.63,0.191,0.31,2.124
111,2022,42,Bahrain,6.173,5.977,6.369,1.883,1.269,0.389,0.748,0.199,0.138,1.546
124,2022,118,Bangladesh,4.282,4.148,4.416,1.133,0.513,0.355,0.617,0.139,0.165,1.361
147,2022,17,Belgium,6.859,6.793,6.926,1.907,1.449,0.528,0.59,0.137,0.273,1.976
165,2022,116,Benin,4.374,4.244,4.504,0.924,0.242,0.124,0.481,0.114,0.253,2.235
183,2022,69,Bolivia,5.684,5.572,5.797,1.24,1.187,0.329,0.648,0.103,0.06,2.118
196,2022,71,Bosnia and Herzegovina,5.633,5.49,5.775,1.467,1.361,0.429,0.485,0.247,0.008,1.635
209,2022,132,Botswana,3.435,3.168,3.702,1.471,1.041,0.087,0.48,0.021,0.071,0.264
222,2022,49,Brazil,6.125,5.997,6.252,1.454,1.25,0.387,0.558,0.131,0.137,2.205
235,2022,77,Bulgaria,5.466,5.35,5.582,1.635,1.457,0.408,0.557,0.106,0.013,1.289
248,2022,104,Burkina Faso,4.638,4.456,4.819,0.768,0.814,0.107,0.419,0.188,0.113,2.23
270,2022,115,Cambodia,4.393,4.279,4.508,1.025,1.024,0.283,0.768,0.176,0.051,1.068
283,2022,96,Cameroon,4.973,4.834,5.112,0.965,0.871,0.118,0.405,0.144,0.059,2.411
296,2022,13,Canada,6.961,6.879,7.042,1.881,1.484,0.541,0.656,0.218,0.364,1.815
316,2022,114,Chad,4.397,4.16,4.633,0.622,0.962,0.043,0.393,0.255,0.088,2.034
329,2022,35,Chile,6.334,6.243,6.424,1.645,1.384,0.511,0.546,0.131,0.076,2.04
342,2022,64,China,5.818,5.731,5.905,1.51,1.249,0.468,0.666,0.115,0.145,1.666
355,2022,72,Colombia,5.63,5.514,5.747,1.455,1.213,0.486,0.562,0.08,0.068,1.765
368,2022,130,Comoros,3.545,3.317,3.774,0.914,0.327,0.215,0.117,0.129,0.145,1.699
379,2022,86,Congo,5.267,5.094,5.44,0.921,0.665,0.145,0.464,0.134,0.136,2.802
392,2022,23,Costa Rica,6.609,6.507,6.71,1.587,1.34,0.503,0.683,0.099,0.116,2.281
405,2022,93,Côte d’Ivoire,5.053,4.907,5.198,1.094,0.584,0.12,0.467,0.138,0.131,2.519
417,2022,48,Croatia,6.125,6.013,6.237,1.727,1.455,0.475,0.5,0.087,0.003,1.88
431,2022,46,Cyprus,6.13,6.024,6.236,1.824,1.224,0.58,0.455,0.104,0.05,1.893
444,2022,18,Czechia,6.845,6.759,6.931,1.823,1.544,0.477,0.693,0.158,0.05,2.099
457,2022,2,Denmark,7.586,7.506,7.667,1.949,1.548,0.537,0.734,0.208,0.525,2.084
473,2022,73,Dominican Republic,5.569,5.426,5.712,1.536,1.227,0.351,0.623,0.083,0.195,1.553
486,2022,133,DR Congo,3.207,3.02,3.394,0.531,0.784,0.105,0.375,0.183,0.068,1.162
497,2022,74,Ecuador,5.559,5.436,5.682,1.343,1.173,0.476,0.56,0.079,0.069,1.86
510,2022,121,Egypt,4.17,4.054,4.287,1.377,0.972,0.326,0.467,0.038,0.25,0.74
523,2022,50,El Salvador,6.122,5.986,6.257,1.278,1.044,0.383,0.713,0.079,0.222,2.403
536,2022,31,Estonia,6.455,6.377,6.534,1.798,1.526,0.494,0.728,0.153,0.372,1.383
552,2022,124,Ethiopia,4.091,3.908,4.273,0.793,1.114,0.25,0.451,0.283,0.101,1.099
565,2022,1,Finland,7.804,7.733,7.875,1.888,1.585,0.535,0.772,0.126,0.535,2.363
578,2022,21,France,6.661,6.588,6.735,1.856,1.433,0.566,0.582,0.083,0.27,1.872
591,2022,94,Gabon,5.035,4.894,5.175,1.438,1.021,0.183,0.346,0.036,0.102,1.908
603,2022,119,Gambia,4.279,4.075,4.484,0.761,0.614,0.174,0.286,0.332,0.033,2.081
610,2022,90,Georgia,5.109,5.0,5.219,1.477,0.947,0.366,0.539,0.0,0.201,1.58
623,2022,16,Germany,6.892,6.795,6.989,1.919,1.401,0.539,0.618,0.153,0.365,1.898
636,2022,107,Ghana,4.605,4.481,4.729,1.101,0.756,0.197,0.526,0.211,0.035,1.779
649,2022,58,Greece,5.931,5.838,6.024,1.708,1.247,0.535,0.248,0.008,0.097,2.089
662,2022,43,Guatemala,6.15,5.939,6.362,1.287,1.188,0.31,0.631,0.106,0.066,2.562
675,2022,91,Guinea,5.072,4.931,5.213,0.844,0.776,0.072,0.369,0.204,0.102,2.705
698,2022,53,Honduras,6.023,5.849,6.196,1.115,1.072,0.341,0.613,0.189,0.062,2.631
711,2022,82,Hong Kong SAR of China,5.308,5.214,5.403,1.951,1.201,0.702,0.407,0.123,0.39,0.535
724,2022,51,Hungary,6.041,5.933,6.149,1.754,1.519,0.435,0.501,0.105,0.065,1.663
737,2022,3,Iceland,7.53,7.434,7.625,1.926,1.62,0.559,0.738,0.25,0.187,2.25
750,2022,126,India,4.036,3.98,4.092,1.159,0.674,0.252,0.685,0.175,0.111,0.979
763,2022,84,Indonesia,5.277,5.161,5.392,1.384,1.169,0.314,0.663,0.422,0.038,1.288
776,2022,101,Iran,4.876,4.772,4.98,1.465,1.102,0.411,0.281,0.229,0.13,1.259
789,2022,98,Iraq,4.941,4.783,5.099,1.281,0.953,0.324,0.351,0.134,0.038,1.861
802,2022,14,Ireland,6.911,6.825,6.996,2.152,1.425,0.539,0.656,0.186,0.409,1.545
815,2022,4,Israel,7.473,7.411,7.535,1.833,1.521,0.577,0.569,0.124,0.158,2.691
828,2022,33,Italy,6.405,6.298,6.511,1.832,1.365,0.559,0.438,0.097,0.063,2.052
841,2022,68,Jamaica,5.703,5.529,5.876,1.305,1.329,0.411,0.587,0.079,0.039,1.954
854,2022,47,Japan,6.129,6.047,6.211,1.825,1.396,0.622,0.556,0.009,0.207,1.513
867,2022,123,Jordan,4.12,3.997,4.242,1.292,0.98,0.438,0.517,0.056,0.173,0.663
880,2022,44,Kazakhstan,6.144,6.049,6.239,1.664,1.491,0.389,0.628,0.136,0.149,1.688
893,2022,111,Kenya,4.487,4.357,4.616,1.051,0.881,0.19,0.418,0.291,0.055,1.601
906,2022,34,Kosovo,6.368,6.25,6.485,1.374,1.269,0.372,0.639,0.275,0.045,2.393
931,2022,62,Kyrgyzstan,5.825,5.737,5.913,1.061,1.439,0.417,0.735,0.234,0.018,1.92
944,2022,89,Lao PDR,5.111,4.952,5.269,1.232,0.853,0.257,0.715,0.185,0.162,1.707
956,2022,41,Latvia,6.213,6.131,6.295,1.737,1.505,0.405,0.58,0.107,0.071,1.808
969,2022,136,Lebanon,2.392,2.305,2.479,1.417,0.476,0.398,0.123,0.061,0.027,-0.11
992,2022,125,Liberia,4.042,3.76,4.325,0.628,0.644,0.141,0.471,0.219,0.071,1.869
1017,2022,20,Lithuania,6.763,6.677,6.849,1.808,1.511,0.432,0.487,0.059,0.089,2.377
1030,2022,9,Luxembourg,7.228,7.093,7.363,2.2,1.357,0.549,0.71,0.149,0.418,1.845
1043,2022,127,Madagascar,4.019,3.839,4.199,0.632,0.779,0.178,0.187,0.177,0.134,1.932
1056,2022,131,Malawi,3.495,3.32,3.671,0.637,0.479,0.189,0.49,0.139,0.129,1.432
1069,2022,55,Malaysia,6.012,5.858,6.167,1.665,1.155,0.385,0.659,0.222,0.122,1.804
1084,2022,120,Mali,4.198,4.076,4.319,0.763,0.637,0.106,0.441,0.121,0.059,2.07
1097,2022,37,Malta,6.3,6.212,6.388,1.841,1.468,0.547,0.671,0.2,0.143,1.429
1110,2022,103,Mauritania,4.724,4.437,5.011,1.099,0.764,0.244,0.32,0.13,0.195,1.973
1123,2022,59,Mauritius,5.902,5.791,6.013,1.589,1.382,0.336,0.574,0.121,0.11,1.79
1136,2022,36,Mexico,6.33,6.218,6.441,1.55,1.169,0.389,0.632,0.086,0.115,2.389
1149,2022,61,Mongolia,5.84,5.75,5.93,1.379,1.494,0.244,0.425,0.239,0.058,2.001
1162,2022,67,Montenegro,5.722,5.503,5.941,1.537,1.385,0.424,0.563,0.17,0.061,1.581
1175,2022,100,Morocco,4.903,4.783,5.023,1.236,0.535,0.337,0.54,0.013,0.085,2.158
1188,2022,97,Mozambique,4.954,4.727,5.181,0.57,0.885,0.0,0.625,0.161,0.192,2.519
1200,2022,117,Myanmar,4.372,4.212,4.533,1.032,1.125,0.269,0.46,0.4,0.194,0.893
1213,2022,105,Namibia,4.631,4.496,4.766,1.289,1.126,0.145,0.383,0.069,0.071,1.549
1224,2022,78,Nepal,5.36,5.214,5.507,0.979,1.027,0.281,0.567,0.215,0.104,2.187
1237,2022,5,Netherlands,7.403,7.346,7.46,1.942,1.488,0.545,0.672,0.251,0.394,2.11
1250,2022,10,New Zealand,7.123,7.048,7.198,1.842,1.544,0.513,0.672,0.23,0.471,1.852
1263,2022,40,Nicaragua,6.259,6.109,6.408,1.109,1.292,0.385,0.66,0.148,0.218,2.448
1276,2022,109,Niger,4.501,4.291,4.712,0.561,0.628,0.137,0.54,0.154,0.14,2.341
1289,2022,95,Nigeria,4.981,4.825,5.136,1.065,1.007,0.092,0.448,0.176,0.013,2.181
1311,2022,87,North Macedonia,5.254,5.146,5.361,1.498,1.171,0.408,0.515,0.207,0.02,1.435
1324,2022,7,Norway,7.315,7.229,7.402,1.994,1.521,0.544,0.752,0.212,0.463,1.829
1340,2022,108,Pakistan,4.555,4.404,4.707,1.081,0.657,0.158,0.511,0.141,0.102,1.907
1353,2022,38,Panama,6.265,6.105,6.424,1.714,1.402,0.475,0.63,0.065,0.036,1.943
1366,2022,66,Paraguay,5.738,5.625,5.851,1.428,1.427,0.392,0.678,0.148,0.062,1.604
1379,2022,75,Peru,5.526,5.412,5.64,1.39,1.153,0.499,0.549,0.073,0.027,1.835
1392,2022,76,Philippines,5.523,5.371,5.675,1.238,1.108,0.286,0.714,0.104,0.141,1.931
1405,2022,39,Poland,6.26,6.177,6.343,1.767,1.474,0.477,0.511,0.12,0.139,1.772
1418,2022,56,Portugal,5.968,5.86,6.076,1.758,1.356,0.537,0.693,0.031,0.037,1.556
1440,2022,57,Republic of Korea,5.951,5.862,6.04,1.853,1.188,0.603,0.446,0.112,0.163,1.587
1453,2022,63,Republic of Moldova,5.819,5.717,5.922,1.425,1.302,0.375,0.61,0.093,0.02,1.995
1466,2022,24,Romania,6.589,6.488,6.69,1.726,1.28,0.423,0.631,0.044,0.0,2.485
1479,2022,70,Russian Federation,5.661,5.588,5.734,1.68,1.383,0.366,0.449,0.12,0.091,1.572
1502,2022,30,Saudi Arabia,6.463,6.344,6.581,1.861,1.37,0.351,0.682,0.093,0.17,1.936
1515,2022,102,Senegal,4.855,4.727,4.983,0.943,0.727,0.231,0.519,0.142,0.06,2.234
1528,2022,45,Serbia,6.144,5.988,6.299,1.552,1.343,0.424,0.617,0.246,0.081,1.881
1541,2022,135,Sierra Leone,3.138,2.976,3.299,0.67,0.54,0.092,0.371,0.193,0.051,1.221
1554,2022,25,Singapore,6.587,6.454,6.72,2.168,1.354,0.607,0.66,0.17,0.561,1.067
1567,2022,29,Slovakia,6.469,6.36,6.578,1.731,1.544,0.472,0.494,0.128,0.022,2.078
