,economy,Country,Internet_Usage,GDP_USD,GDP_per_Capita,Poverty_Rate,Total_Population
0,AFG,Afghanistan,17.7089,"$17152234636,8715","$413,757894705303",-,42647492.0
1,ALB,Albania,83.1356,"$27046429296,6673","$11377,7757431099","30,0%",2377128.0
2,DZA,Algeria,76.9081,"$269322281664,773","$5752,99076651465","0,0%",46814308.0
3,ASM,American Samoa,0.0,"$871000000,0","$18017,4589383973",-,46765.0
4,AND,Andorra,95.4456,"$4039842405,48117","$49303,6491674336",-,81938.0
5,AGO,Angola,44.7581,"$100998916781,079","$2665,87444776753","3929,9999999999995%",37885849.0
6,ATG,Antigua and Barbuda,77.5756,"$2207622874,07407","$23542,4526945578",-,93772.0
7,ARG,Argentina,89.6672,"$638365455340,04","$13969,7836603737","100,0%",45696159.0
8,ARM,Armenia,79.9966,"$25955275380,0321","$8556,21406956719","190,0%",3033500.0
9,ABW,Aruba,97.17,"$4265650673,00236","$39498,5941293797",-,107995.0
10,AUS,Australia,97.0631,"$1757022451652,83","$64603,9856308464","100,0%",27196812.0
11,AUT,Austria,94.9197,"$534790720466,822","$58268,8787651601","50,0%",9177982.0
12,AZE,Azerbaijan,89.0,"$74315882352,9412","$7283,8499076179","0,0%",10202830.0
13,BHS,"Bahamas, The",94.8186,"$15832800000,0","$39455,4466548546",-,401283.0
14,BHR,Bahrain,100.0,"$47109734308,5106","$29653,5682731534",-,1588670.0
15,BGD,Bangladesh,44.5027,"$450119432068,852","$2593,41611680774","590,0%",173562364.0
16,BRB,Barbados,79.9923,"$7498050000,0","$26544,8707282621","170,0%",282467.0
17,BLR,Belarus,94.2618,"$75961865471,9129","$8317,63399913792","0,0%",9132629.0
18,BEL,Belgium,95.7758,"$671370081636,406","$56614,5679499036","10,0%",11858610.0
19,BLZ,Belize,72.3595,"$3203631800,0","$7681,24400583113","100,0%",417072.0
20,BEN,Benin,32.2083,"$21482643706,4249","$1485,38018885134","2720,0%",14462724.0
21,BMU,Bermuda,98.37,"$9233600000,0","$142855,374713782",-,64636.0
22,BTN,Bhutan,88.426,"$3012896789,24928","$3831,32535494609","0,0%",791524.0
23,BOL,Bolivia,70.2368,"$54881327452,9667","$4421,16609889999","280,0%",12413315.0
24,BIH,Bosnia and Herzegovina,86.1009,"$29613572022,8993","$9358,78768951134","20,0%",3164253.0
25,BWA,Botswana,81.36,"$19402063512,9066","$7695,75319445165","2140,0%",2521139.0
26,BRA,Brazil,84.4635,"$2185821648943,86","$10310,5488778166","380,0%",211998573.0
27,BRN,Brunei Darussalam,99.0336,"$15340808592,48","$33153,4738913513",-,462721.0
28,BGR,Bulgaria,82.439,"$113343355779,985","$17596,0173663521","100,0%",6441421.0
29,BFA,Burkina Faso,17.0226,"$23124729853,0218","$981,992649769081","4210,0%",23548781.0
30,BDI,Burundi,11.0784,"$3082433067,32634","$219,424830882698","7420,0%",14047786.0
31,CPV,Cabo Verde,73.539,"$2725414150,72735","$5192,48157325878","1460,0%",524877.0
32,KHM,Cambodia,60.7171,"$46352647037,2406","$2627,87969756224",-,17638801.0
33,CMR,Cameroon,41.9088,"$53296694320,2057","$1830,00833684727","2670,0%",29123744.0
34,CAN,Canada,93.9564,"$2243636826633,76","$54340,3477224733","20,0%",41288599.0
35,CYM,Cayman Islands,81.0677,"$7241244269,45972","$99143,5180243123",-,74457.0
36,CAF,Central African Republic,7.50916,"$2751494281,06887","$516,160999996036","7159,999999999999%",5330690.0
37,TCD,Chad,13.1832,"$19518819751,283","$961,55975562506","3950,0%",20299123.0
38,CHI,Channel Islands,-,"$12507320838,3932","$74585,5224096294",-,168126.0
39,CHL,Chile,94.4574,"$330267137371,592","$16709,8893972307","50,0%",19764771.0
40,CHN,China,92.0,"$18743803170827,2","$13303,1481543868","0,0%",1408975000.0
41,COL,Colombia,77.3369,"$418818154879,271","$7919,20886825345","770,0%",52886363.0
42,COM,Comoros,35.6678,"$1440991455,45188","$1662,75663312504","3140,0%",866628.0
43,COD,"Congo, Dem, Rep,",30.548,"$70962185790,7094","$649,383338556725","8530,0%",109276265.0
44,COG,"Congo, Rep,",38.3791,"$15719986076,6464","$2482,2489948456","3920,0000000000005%",6332961.0
45,CRI,Costa Rica,85.3951,"$95350423176,5962","$18587,1532203482","130,0%",5129910.0
46,CIV,Cote d'Ivoire,40.6528,"$87113179149,284","$2727,8935220697","2090,0%",31934230.0
47,HRV,Croatia,83.6324,"$92983810328,9088","$24050,4397933135","30,0%",3866200.0
48,CUB,Cuba,71.275,"$107352000000,0","$9605,27914559614",-,10979783.0
49,CUW,Curacao,68.1272,"$3561178196,20713","$22832,8953958667",-,155967.0
50,CYP,Cyprus,91.2211,"$37634533331,8902","$38674,29296875","0,0%",1358282.0
51,CZE,Czechia,87.6878,"$347034062928,479","$31823,3078290564","0,0%",10905028.0
52,DNK,Denmark,99.7692,"$424524722037,047","$71026,4832271897","40,0%",5976992.0
53,DJI,Djibouti,65.0248,"$4152145939,98458","$3552,72335079222","2540,0%",1168722.0
54,DMA,Dominica,83.8255,"$688881481,481481","$10405,2787777582",-,66205.0
55,DOM,Dominican Republic,91.0022,"$124282245638,568","$10875,6618443092","80,0%",11427557.0
56,ECU,Ecuador,77.1727,"$124676074700,0","$6874,705739766","730,0%",18135478.0
57,EGY,"Egypt, Arab Rep,",72.6899,"$389059911003,566","$3338,47371395895","140,0%",116538258.0
58,SLV,El Salvador,67.6558,"$35364960000,0","$5579,65969165029","459,99999999999994%",6338193.0
59,GNQ,Equatorial Guinea,60.3661,"$12765777677,0622","$6745,40013244916","880,0000000000001%",1892516.0
60,ERI,Eritrea,20.0104,"$2065001626,01626","$688,68165957684",-,3535603.0
61,EST,Estonia,92.238,"$43130419829,35","$31428,3547816104","30,0%",1372341.0
62,SWZ,Eswatini,57.62,"$4858885840,77236","$3909,55892378182","4450,0%",1242822.0
63,ETH,Ethiopia,16.6981,"$149740297952,986","$1133,88279681719","3860,0%",132059767.0
64,FRO,Faroe Islands,97.582,"$4052937169,76536","$74119,6607553879",-,54681.0
65,FJI,Fiji,79.3485,"$5968125909,27126","$6425,74151715712","470,0%",928784.0
66,FIN,Finland,93.5139,"$298696961297,656","$53149,7671934051","20,0%",5619911.0
67,FRA,France,88.6538,"$3160442622465,08","$46103,0840855884","10,0%",68551653.0
68,PYF,French Polynesia,72.7039,"$6323716355,05009","$22439,8838746025",-,281807.0
69,GAB,Gabon,71.9256,"$20895684425,6752","$8230,04311451151","380,0%",2538952.0
70,GMB,"Gambia, The",45.9137,"$2404888749,21907","$871,340291776294","2200,0%",2759988.0
71,GEO,Georgia,81.8843,"$34189423544,9955","$9241,49122313713","420,0%",3699557.0
72,DEU,Germany,93.5,"$4685592577804,69","$56103,7323182554","20,0%",83516593.0
73,GHA,Ghana,69.9445,"$82308110386,4641","$2390,77237652715","3900,0%",34427414.0
74,GRC,Greece,86.2697,"$256238371778,118","$24626,1481858973","60,0%",10405134.0
75,GRL,Greenland,69.4825,"$3326543974,39193","$58498,9707973609",-,56836.0
76,GRD,Grenada,74.1201,"$1371918518,51852","$11705,0902976658","80,0%",117207.0
77,GUM,Guam,80.5055,"$6910000000,0","$41833,1517132825",-,167777.0
78,GTM,Guatemala,56.0535,"$113199581158,203","$6150,02571438505","969,9999999999999%",18406359.0
79,GIN,Guinea,26.5014,"$25008678293,4084","$1694,95375862193","1170,0%",14754785.0
80,GNB,Guinea-Bissau,32.4661,"$2218393804,54798","$1007,74151728028","3990,0%",2201352.0
81,GUY,Guyana,81.7221,"$24662709832,1343","$29675,2443873316","1300,0%",831087.0
82,HTI,Haiti,39.262,"$25224154990,7946","$2142,62330526788","4040,0%",11772557.0
83,HND,Honduras,58.2789,"$37093565854,0437","$3426,43483328923","1570,0%",10825703.0
84,HKG,"Hong Kong SAR, China",95.9778,"$406863396487,342","$54074,6928519479",-,7524100.0
85,HUN,Hungary,93.779,"$222722738925,641","$23292,3263882478","90,0%",9562065.0
86,ISL,Iceland,99.8301,"$33255181468,9382","$86040,5309851288","10,0%",386506.0
87,IND,India,70.0,"$3909891533858,08","$2694,73780859961","530,0%",1450935791.0
88,IDN,Indonesia,72.7808,"$1396300098190,97","$4925,43048751861","540,0%",283487931.0
89,IRN,"Iran, Islamic Rep,",79.6309,"$475252089215,416","$5190,16959024821","250,0%",91567738.0
90,IRQ,Iraq,81.7291,"$279641257615,385","$6073,61032342708","50,0%",46042015.0
91,IRL,Ireland,96.4974,"$609157459747,205","$112894,953240805","10,0%",5395790.0
92,IMN,Isle of Man,-,"$7431257410,92713","$88328,548125887",-,84160.0
93,ISR,Israel,88.1824,"$540379921261,681","$54176,6844383302","70,0%",9974400.0
94,ITA,Italy,89.2207,"$2380825077243,59","$40385,3413957669","90,0%",58952704.0
95,JAM,Jamaica,89.473,"$22014397089,7689","$7753,8006955432","140,0%",2839175.0
96,JPN,Japan,86.9815,"$4027597523550,58","$32487,0778047567","120,0%",123975371.0
97,JOR,Jordan,92.5344,"$53352289577,4648","$4618,09592498567","10,0%",11552876.0
98,KAZ,Kazakhstan,93.3917,"$291480274648,826","$14154,6324958076","0,0%",20592571.0
99,KEN,Kenya,34.9762,"$120339557905,932","$2132,43452097647","4690,0%",56432944.0
100,KIR,Kiribati,88.0,"$307862564,489711","$2288,63471423684","610,0%",134518.0
101,KOR,"Korea, Rep,",97.8956,"$1875388209406,8","$36238,639908315","20,0%",51751065.0
