,Country,name
13,"Bahamas, The",Bahamas
23,Bolivia,"Bolivia, Plurinational State of"
38,Channel Islands,Cocos (Keeling) Islands
43,"Congo, Dem, Rep,",Congo
44,"Congo, Rep,",Congo
46,Cote d'Ivoire,Côte d'Ivoire
49,Curacao,Curaçao
57,"Egypt, Arab Rep,",Egypt
70,"Gambia, The",Gambia
84,"Hong Kong SAR, China",China
89,"Iran, Islamic Rep,","Iran, Islamic Republic of"
101,"Korea, Rep,","Korea, Republic of"
102,Kosovo,Solomon Islands
104,Kyrgyz Republic,Central African Republic
105,Lao PDR,Lao People's Democratic Republic
114,"Macao SAR, China",China
125,"Micronesia, Fed, Sts,","Micronesia, Federated States of"
126,Moldova,"Moldova, Republic of"
136,Netherlands,"Netherlands, Kingdom of the"
155,Puerto Rico (US),Puerto Rico
170,Slovak Republic,Central African Republic
173,"Somalia, Fed, Rep,",Mali
178,"St, Kitts and Nevis",Saint Kitts and Nevis
179,"St, Lucia",Saint Lucia
180,"St, Martin (French part)",Saint Martin (French part)
181,"St, Vincent and the Grenadines",Saint Vincent and the Grenadines
188,Tanzania,"Tanzania, United Republic of"
195,Turkiye,Türkiye
202,United Kingdom,United Kingdom of Great Britain and Northern Ireland
203,United States,United States of America
207,"Venezuela, RB","Venezuela, Bolivarian Republic of"
209,"Virgin Islands (U,S,)",Virgin Islands (U.S.)
210,West Bank and Gaza,"Bonaire, Sint Eustatius and Saba"
211,"Yemen, Rep,",Yemen
214,British Virgin Islands,Virgin Islands (British)
216,"Korea, Dem, People's Rep,","Korea, Democratic People's Republic of"
