Country Name,Match,Region,"Population, total [SP.POP.TOTL]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",GDP per capita (current US$) [NY.GDP.PCAP.CD]
Afghanistan,Afghanistan,Asia,40578842,65.617,357.2611528
Albania,Albania,Europe,2451636,78.769,7756.961887
Algeria,Algeria,Africa,45477389,76.129,4960.303343
American Samoa,American Samoa,Oceania,48342,72.752,18017.45894
Andorra,Andorra,Europe,79705,84.016,42414.04799
Angola,Angola,Africa,35635029,64.246,3682.113151
Antigua and Barbuda,Antigua and Barbuda,Americas,92840,77.483,20105.19891
Argentina,Argentina,Americas,45407904,75.806,13962.18941
Armenia,Armenia,Asia,2969200,74.76585366,6571.974455
Aruba,Aruba,Americas,107310,76.226,30975.99891
Australia,Australia,Oceania,26018721,83.2,65169.51911
Austria,Austria,Europe,9041851,81.29512195,52336.77252
Azerbaijan,Azerbaijan,Asia,10141756,74.125,7770.594223
"Bahamas, The",Bahamas,Americas,397538,74.491,34957.16133
Bahrain,Bahrain,Asia,1524693,80.992,30470.52193
Bangladesh,Bangladesh,Asia,169384897,74.265,2716.485928
Barbados,Barbados,Americas,282318,75.676,24387.03873
Belarus,Belarus,Europe,9228071,74.10336585,7994.648061
Belgium,Belgium,Europe,11680210,81.74878049,50605.74967
Belize,Belize,Americas,402733,72.19,7068.21728
Benin,Benin,Africa,13759501,60.475,1266.42711
Bermuda,Bermuda,Americas,64749,82.062,121613.94
Bhutan,Bhutan,Asia,780914,72.754,3711.32768
Bolivia,"Bolivia, Plurinational State of",Americas,12077154,67.434,4219.461137
Bosnia and Herzegovina,Bosnia and Herzegovina,Europe,3204802,76.777,7655.59421
Botswana,Botswana,Africa,2439892,68.749,8328.709057
Brazil,Brazil,Americas,210306415,74.872,9281.332821
British Virgin Islands,Virgin Islands (British),Americas,38319,77.177,0
Brunei Darussalam,Brunei Darussalam,Asia,455370,72.917,36632.9281
Bulgaria,Bulgaria,Europe,6465097,74.16097561,13999.19495
Burkina Faso,Burkina Faso,Africa,22509038,60.7,827.3308435
Burundi,Burundi,Africa,13321097,62.882,302.9925053
Cabo Verde,Cabo Verde,Africa,519741,75.907,4323.31362
Cambodia,Cambodia,Asia,17201724,70.528,2325.0305
Cameroon,Cameroon,Africa,27632771,62.443,1604.87727
Canada,Canada,Americas,38935934,81.24536585,56256.80073
Cayman Islands,Cayman Islands,Americas,71591,79.984,93030.70514
Central African Republic,Central African Republic,Africa,5098039,18.818,467.359825
Chad,Chad,Africa,18455316,54.528,966.0364683
Channel Islands,Cocos (Keeling) Islands,Oceania,167215,81,67627.14173
Chile,Chile,Americas,19553036,79.176,15405.61658
China,China,Asia,1412175000,78.202,12970.60564
